GENESIS-Tabelle: animal_slaugther
Slaughtered animals, quantity slaughtered: L�nder, months,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
types of animals, type of slaughtering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slaughtering and carcass weight statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Oxen;Oxen;Oxen;Oxen;Oxen;Oxen;Bulls;Bulls;Bulls;Bulls;Bulls;Bulls;Cows;Cows;Cows;Cows;Cows;Cows;Female cattle;Female cattle;Female cattle;Female cattle;Female cattle;Female cattle;Cattle;Cattle;Cattle;Cattle;Cattle;Cattle;Calves;Calves;Calves;Calves;Calves;Calves;Young cattle;Young cattle;Young cattle;Young cattle;Young cattle;Young cattle;Pigs;Pigs;Pigs;Pigs;Pigs;Pigs;Sheep;Sheep;Sheep;Sheep;Sheep;Sheep;Lambs;Lambs;Lambs;Lambs;Lambs;Lambs;Horses;Horses;Horses;Horses;Horses;Horses;Goats;Goats;Goats;Goats;Goats;Goats
;;;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of domestic origin;Com. slaughtering of animals of foreign origin;Com. slaughtering of animals of foreign origin;Home slaughtering;Home slaughtering
;;;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered;Slaughtered animals;Quantity slaughtered
;;;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t;number;t
Baden-W�rttemberg;1991;January;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77821;23382;.;.;2479;706;3950;416;.;.;592;61;-;-;-;-;-;-;262996;23260;.;.;27232;-;17844;333;-;-;3059;58;-;-;-;-;-;-;117;27;-;-;-;-;-;-;-;-;-;-
Baden-W�rttemberg;1991;February;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67508;20245;.;.;2426;689;4099;435;.;.;601;62;-;-;-;-;-;-;250503;21730;.;.;22617;-;15268;284;-;-;2706;50;-;-;-;-;-;-;103;24;-;-;-;-;-;-;-;-;-;-
Baden-W�rttemberg;1991;March;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72526;22054;.;.;2452;709;5657;611;.;.;706;75;-;-;-;-;-;-;254453;21996;.;.;18354;-;27662;529;-;-;5222;100;-;-;-;-;-;-;119;28;-;-;-;-;-;-;-;-;-;-
Baden-W�rttemberg;1991;April;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76674;23062;.;.;2203;634;4659;494;.;.;780;82;-;-;-;-;-;-;278283;24608;.;.;15757;-;17491;326;-;-;2969;55;-;-;-;-;-;-;135;32;-;-;-;-;-;-;-;-;-;-
Baden-W�rttemberg;1991;May;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69730;21422;.;.;1609;468;5041;541;.;.;607;64;-;-;-;-;-;-;253734;22479;.;.;9822;-;16890;310;-;-;2952;55;-;-;-;-;-;-;119;28;-;-;-;-;-;-;-;-;-;-
Baden-W�rttemberg;1991;June;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65761;20045;.;.;1428;419;4412;473;.;.;663;69;-;-;-;-;-;-;249067;21973;.;.;7780;-;17417;319;-;-;6725;123;-;-;-;-;-;-;123;29;-;-;-;-;-;-;-;-;-;-
Baden-W�rttemberg;1991;July;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66087;19809;.;.;783;226;3813;417;.;.;467;50;-;-;-;-;-;-;262718;22913;.;.;5370;-;13474;247;-;-;2103;39;-;-;-;-;-;-;113;26;-;-;-;-;-;-;-;-;-;-
